Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
200,24.86666667,0,3,4,3.666666667,3.5,3.666666667,1,0,0,-1,-2,-3,0,0,0,0,4,0.285714286,4,0.114285714,1,0.333333333,0,0,1,0.071428571,20,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
201,24.26666667,0,1,3,1,1.5,2,3,0,0,0,-3,0,0,0,0,0,8,0.571428571,8,0.228571429,1,0.333333333,3,0.272727273,4,0.285714286,20,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
202,13.65,1,4,7,3.333333333,6,5.666666667,3,0,2,-1,-1,1,0,2,2,0.095238095,10,0.714285714,12,0.342857143,2,0.666666667,4,0.363636364,6,0.428571429,20,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
203,36.93333333,3,12,19,3,6,4.666666667,2,0,-1,-1,0,0,4,3,7,0.333333333,11,0.785714286,18,0.514285714,2,0.666666667,7,0.636363636,9,0.642857143,21,Male,Fluent,Native,Irrelevant,Static,Irrelevant Static
204,10.55,0,0,2,4,5.5,5,2,0,1,1,0,-1,2,0,2,0.095238095,11,0.785714286,13,0.371428571,1,0.333333333,1,0.090909091,2,0.142857143,20,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
205,19.71666667,0,10,12,6.333333333,8,5,3,0,-1,-3,-3,0,0,1,1,0.047619048,10,0.714285714,11,0.314285714,2,0.666666667,2,0.181818182,4,0.285714286,21,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
206,19.8,0,5,6,2.333333333,7,6,2,0,-1,0,1,3,2,1,3,0.142857143,12,0.857142857,15,0.428571429,2,0.666666667,4,0.363636364,6,0.428571429,21,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
207,13.1,1,3,8,5.333333333,5.5,5.666666667,4,0,-2,-2,-2,-3,0,1,1,0.047619048,8,0.571428571,9,0.257142857,2,0.666666667,6,0.545454545,8,0.571428571,21,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
208,11.68,1,4,6,3.333333333,4,2.666666667,2,0,0,0,-2,2,1,1,2,0.095238095,8,0.571428571,10,0.285714286,2,0.666666667,4,0.363636364,6,0.428571429,19,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
209,18.33333333,1,9,11,3.666666667,4.5,5.333333333,4,2,2,1,0,2,3,2,5,0.238095238,9,0.642857143,14,0.4,3,1,3,0.272727273,6,0.428571429,22,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
210,13.76666667,1,0,2,3.666666667,8,5.333333333,2,-6,0,-1,-5,-6,0,1,1,0.047619048,12,0.857142857,13,0.371428571,2,0.666666667,4,0.363636364,6,0.428571429,19,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
211,19.65,0,0,1,2.666666667,4,4.333333333,1,-3,1,-2,-6,-3,0,1,1,0.047619048,5,0.357142857,6,0.171428571,2,0.666666667,2,0.181818182,4,0.285714286,20,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
212,13.2,0,6,8,2,2.5,1,2,1,2,-1,0,-1,0,0,0,0,7,0.5,7,0.2,1,0.333333333,1,0.090909091,2,0.142857143,19,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
213,15.26666667,0,1,3,1.666666667,9.5,9.333333333,3,1,5,2,3,1,1,1,2,0.095238095,6,0.428571429,8,0.228571429,2,0.666666667,0,0,2,0.142857143,23,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
214,17.45,0,3,4,3.333333333,6.5,6.666666667,2,0,3,-1,0,1,3,1,4,0.19047619,10,0.714285714,14,0.4,0,0,2,0.181818182,2,0.142857143,20,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
215,11.53333333,0,0,1,3.333333333,7.5,2,2,0,1,0,-2,-2,0,0,0,0,5,0.357142857,5,0.142857143,1,0.333333333,1,0.090909091,2,0.142857143,20,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
216,20.85,1,7,10,7.333333333,6,2,2,-1,2,0,0,-2,3,0,3,0.142857143,5,0.357142857,8,0.228571429,1,0.333333333,1,0.090909091,2,0.142857143,19,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
217,14.21666667,0,6,8,5,5,5,3,3,4,0,0,1,0,0,0,0,4,0.285714286,4,0.114285714,2,0.666666667,2,0.181818182,4,0.285714286,21,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
